filename,category,title,author,license,source_page,file_url
buildings_000_File_windows_iPhone_cover_cc_8974579599.jpg,Category:Buildings,"File:""windows"" (iPhone cover cc) (8974579599).jpg","Martin Fisch from Wiesbaden, Germany",CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File%3A%22windows%22_%28iPhone_cover_cc%29_%288974579599%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d3/%22windows%22_%28iPhone_cover_cc%29_%288974579599%29.jpg/960px-%22windows%22_%28iPhone_cover_cc%29_%288974579599%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
buildings_001_File_111_South_Wacker_Drive.jpg,Category:Buildings,File:111 South Wacker Drive.jpg,Potro,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File%3A111_South_Wacker_Drive.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5e/111_South_Wacker_Drive.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
buildings_002_File_15401_20251201_1649500t.jpg,Category:Buildings,File:15401 20251201 1649500t.jpg,Аукцион,Public domain,https://commons.wikimedia.org/wiki/File%3A15401_20251201_1649500t.jpg,https://upload.wikimedia.org/wikipedia/commons/b/ba/15401_20251201_1649500t.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
buildings_003_File_2003_09_21_Best_of_Musical_006_51027793393.jpg,Category:Buildings,File:2003 09 21 Best of Musical 006 (51027793393).jpg,"János Korom Dr. &gt;17 Million views from Wien, Austria",CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File%3A2003_09_21_Best_of_Musical_006_%2851027793393%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/60/2003_09_21_Best_of_Musical_006_%2851027793393%29.jpg/960px-2003_09_21_Best_of_Musical_006_%2851027793393%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
buildings_004_File_20V_Health_3A.jpg,Category:Buildings,File:20V-Health-3A.jpg,Photographer from Concept3D,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File%3A20V-Health-3A.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5d/20V-Health-3A.jpg/960px-20V-Health-3A.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
buildings_005_File_345688mo.jpg,Category:Buildings,File:345688mo.jpg,Sidharthan varkkala,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File%3A345688mo.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/345688mo.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
buildings_006_File_35_East_Wacker_Drive.jpg,Category:Buildings,File:35 East Wacker Drive.jpg,Potro,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File%3A35_East_Wacker_Drive.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f6/35_East_Wacker_Drive.jpg/960px-35_East_Wacker_Drive.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
buildings_007_File_38_Delegacia_de_Pol_cia_de_Vicente_Pires.jpg,Category:Buildings,File:38ª Delegacia de Polícia de Vicente Pires.jpg,Isabela Nunes Torres,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File%3A38%C2%AA_Delegacia_de_Pol%C3%ADcia_de_Vicente_Pires.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7d/38%C2%AA_Delegacia_de_Pol%C3%ADcia_de_Vicente_Pires.jpg/960px-38%C2%AA_Delegacia_de_Pol%C3%ADcia_de_Vicente_Pires.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
buildings_008_File_38_Delegacia_de_Pol_cia_em_Vicente_Pires.jpg,Category:Buildings,File:38ª Delegacia de Polícia em Vicente Pires.jpg,Isabela Nunes Torres,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File%3A38%C2%AA_Delegacia_de_Pol%C3%ADcia_em_Vicente_Pires.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a2/38%C2%AA_Delegacia_de_Pol%C3%ADcia_em_Vicente_Pires.jpg/960px-38%C2%AA_Delegacia_de_Pol%C3%ADcia_em_Vicente_Pires.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
buildings_009_File_435822849_96722_min.jpg,Category:Buildings,File:435822849 96722-min.jpg,Zand University,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File%3A435822849_96722-min.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e7/435822849_96722-min.jpg/960px-435822849_96722-min.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
buildings_010_File_752_Marine_Drive.jpg,Category:Buildings,File:752 Marine Drive.jpg,PhillipAshley3,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File%3A752_Marine_Drive.jpg,https://upload.wikimedia.org/wikipedia/commons/5/53/752_Marine_Drive.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
buildings_011_File_77_West_Wacker_Drive.jpg,Category:Buildings,File:77 West Wacker Drive.jpg,Potro,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File%3A77_West_Wacker_Drive.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/79/77_West_Wacker_Drive.jpg/960px-77_West_Wacker_Drive.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
buildings_012_File_A_building_in_Yankari_Game_Reserve_01.jpg,Category:Buildings,File:A building in Yankari Game Reserve 01.jpg,Kambai Akau,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File%3AA_building_in_Yankari_Game_Reserve_01.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8b/A_building_in_Yankari_Game_Reserve_01.jpg/960px-A_building_in_Yankari_Game_Reserve_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
buildings_013_File_A_J_sika_kast_ly.jpg,Category:Buildings,File:A Jósika kastély.jpg,Unknown authorUnknown author,Public domain,https://commons.wikimedia.org/wiki/File%3AA_J%C3%B3sika_kast%C3%A9ly.jpg,https://upload.wikimedia.org/wikipedia/commons/3/35/A_J%C3%B3sika_kast%C3%A9ly.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
